Datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-11 09:00:00,2.2,87.0,9.5,129.0,101.0,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.8
2004-03-11 10:00:00,1.7,77.0,6.3,112.0,98.0,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.8
2004-03-11 11:00:00,1.5,43.0,5.0,95.0,92.0,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7
2004-03-11 12:00:00,1.6,61.0,5.2,104.0,95.0,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.8
2004-03-11 13:00:00,1.9,63.0,7.3,146.0,112.0,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8
2004-03-11 14:00:00,2.9,164.0,11.5,207.0,128.0,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.9
2004-03-11 15:00:00,2.2,79.0,8.8,184.0,126.0,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.9
2004-03-11 16:00:00,2.2,95.0,8.3,193.0,131.0,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.9
2004-03-11 17:00:00,2.9,150.0,11.2,243.0,135.0,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8
2004-03-11 18:00:00,4.8,307.0,20.8,281.0,151.0,1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8
2004-03-11 19:00:00,5.6,461.0,27.4,383.0,172.0,1672.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8
2004-03-11 20:00:00,5.6,401.0,24.0,351.0,165.0,1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8
2004-03-11 21:00:00,3.9,197.0,12.8,240.0,136.0,1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7
2004-03-11 22:00:00,1.5,61.0,4.7,94.0,85.0,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.7
2004-03-11 23:00:00,1.0,26.0,2.6,47.0,53.0,913.0,629.0,1436.8,1252.0,552.0,8.2,60.8,0.7
2004-03-12 00:00:00,1.7,55.0,5.9,122.0,97.0,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6
2004-03-12 01:00:00,1.9,53.0,6.4,133.0,110.0,1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6
2004-03-12 02:00:00,1.4,40.0,4.1,82.0,91.0,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6
2004-03-12 03:00:00,0.8,21.0,1.9,51.5,61.5,889.0,574.0,1436.8,1187.0,512.0,7.0,62.3,0.6
2004-03-12 04:00:00,0.7,10.0,1.1,21.0,32.0,831.0,506.0,1436.8,1134.0,384.0,6.1,65.9,0.6
2004-03-12 05:00:00,0.6,7.0,1.0,30.0,44.0,847.0,501.0,1436.8,1155.0,394.0,6.3,65.0,0.6
2004-03-12 06:00:00,0.8,17.0,1.8,56.0,71.0,927.0,571.0,1436.8,1223.0,487.0,6.8,62.9,0.6
2004-03-12 07:00:00,1.4,33.0,4.4,109.0,104.0,1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6
2004-03-12 08:00:00,4.4,202.0,17.9,307.0,141.0,1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6
2004-03-12 09:00:00,3.8,205.0,22.1,247.0,131.5,1545.0,1353.0,767.0,2058.0,1588.0,9.2,56.2,0.7
2004-03-12 10:00:00,3.1,208.0,14.0,187.0,122.0,1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.6
2004-03-12 11:00:00,2.7,166.0,11.6,216.0,143.0,1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6
2004-03-12 12:00:00,2.1,114.0,10.2,143.0,113.0,1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6
2004-03-12 13:00:00,2.5,140.0,11.0,160.0,116.0,1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6
2004-03-12 14:00:00,2.7,169.0,12.8,163.0,123.0,1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.7
2004-03-12 15:00:00,2.9,185.0,14.2,190.0,126.0,1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.7
2004-03-12 16:00:00,2.8,165.0,12.7,178.0,120.0,1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.7
2004-03-12 17:00:00,2.4,133.0,11.7,150.0,119.0,1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.7
2004-03-12 18:00:00,3.9,233.0,19.3,206.0,149.0,1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.7
2004-03-12 19:00:00,3.7,242.0,18.2,202.0,145.0,1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7
2004-03-12 20:00:00,5.6,488.0,28.4,340.0,170.0,1672.0,1610.0,624.0,2344.5,1887.0,12.9,50.5,0.7
2004-03-12 21:00:00,4.4,333.0,20.1,274.0,149.0,1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.8
2004-03-12 22:00:00,3.5,215.0,14.3,253.0,139.0,1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.8
2004-03-12 23:00:00,5.4,367.0,21.8,300.0,134.0,1672.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.8
2004-03-13 00:00:00,2.7,122.0,9.6,193.0,113.0,1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.8
2004-03-13 01:00:00,1.9,67.0,7.4,139.0,97.0,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7
2004-03-13 02:00:00,1.6,43.0,5.4,83.0,82.0,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7
2004-03-13 03:00:00,1.7,46.0,5.4,96.0,82.5,1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7
2004-03-13 04:00:00,1.4,56.0,6.2,109.0,83.0,1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7
2004-03-13 05:00:00,1.0,30.0,2.6,62.0,65.0,978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.7
2004-03-13 06:00:00,1.2,27.0,2.9,53.0,60.0,1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.7
2004-03-13 07:00:00,1.5,47.0,5.1,139.0,77.0,1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.7
2004-03-13 08:00:00,2.7,132.0,11.8,256.0,96.0,1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.7
2004-03-13 09:00:00,3.7,239.0,15.1,295.0,119.0,1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7
2004-03-13 10:00:00,3.2,160.0,12.9,250.0,126.0,1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7
2004-03-13 11:00:00,4.1,283.0,16.1,296.0,158.0,1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7
2004-03-13 12:00:00,3.6,210.0,14.0,239.0,161.0,1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.7
2004-03-13 13:00:00,2.8,154.0,12.3,153.0,124.0,1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.7
2004-03-13 14:00:00,2.0,112.0,8.6,118.0,102.0,1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7
2004-03-13 15:00:00,2.0,108.0,9.2,119.0,116.0,1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7
2004-03-13 16:00:00,2.5,111.0,10.2,138.0,124.0,1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7
2004-03-13 17:00:00,2.3,97.0,10.6,148.0,125.0,1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7
2004-03-13 18:00:00,3.2,191.0,15.5,227.0,148.0,1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7
2004-03-13 19:00:00,4.2,258.0,19.6,277.0,165.0,1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.8
2004-03-13 20:00:00,4.2,284.0,19.2,279.0,161.0,1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.8
2004-03-13 21:00:00,4.2,269.0,18.3,283.0,159.0,1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8
2004-03-13 22:00:00,3.1,180.0,13.1,214.0,143.0,1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.8
2004-03-13 23:00:00,2.6,116.0,10.9,172.0,130.0,1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8
2004-03-14 00:00:00,2.9,93.0,11.0,190.0,129.0,1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8
2004-03-14 01:00:00,2.8,131.0,11.9,174.0,119.0,1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.9
2004-03-14 02:00:00,2.5,92.0,8.6,128.0,104.0,1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.9
2004-03-14 03:00:00,2.4,132.0,9.7,99.0,93.0,1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.9
2004-03-14 04:00:00,1.8,56.0,5.2,70.0,82.0,1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.9
2004-03-14 05:00:00,1.2,32.0,3.7,53.0,70.0,1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.9
2004-03-14 06:00:00,1.0,29.0,2.5,44.0,63.0,1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8
2004-03-14 07:00:00,0.9,27.0,2.4,74.0,67.0,1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.9
2004-03-14 08:00:00,1.4,36.0,4.2,101.0,84.0,1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.9
2004-03-14 09:00:00,1.6,57.0,6.4,118.0,83.0,1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.9
2004-03-14 10:00:00,2.2,129.0,8.6,144.0,98.0,1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.9
2004-03-14 11:00:00,2.8,148.0,10.9,176.0,114.0,1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.9
2004-03-14 12:00:00,2.8,145.0,10.7,161.0,119.0,1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8
2004-03-14 13:00:00,2.0,93.0,7.5,113.0,104.0,1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.8
2004-03-14 14:00:00,1.8,84.0,7.5,103.0,102.0,1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.8
2004-03-14 15:00:00,1.9,99.0,8.2,112.0,107.0,1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.8
2004-03-14 16:00:00,3.0,150.0,11.9,170.0,129.0,1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.8
2004-03-14 17:00:00,2.9,156.0,12.0,180.0,128.0,1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.8
2004-03-14 18:00:00,2.5,122.0,12.2,160.0,121.0,1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8
2004-03-14 19:00:00,4.6,262.0,20.6,261.0,157.0,1672.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.9
2004-03-14 20:00:00,5.6,341.0,23.1,325.0,173.0,1672.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.9
2004-03-14 21:00:00,3.4,214.0,14.7,217.0,146.0,1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.9
2004-03-14 22:00:00,2.1,100.0,9.0,146.0,121.0,1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9
2004-03-14 23:00:00,2.2,79.0,8.8,152.0,119.0,1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9
2004-03-15 00:00:00,1.8,66.0,7.4,104.0,99.0,1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9
2004-03-15 01:00:00,1.8,73.0,6.9,106.0,93.0,1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9
2004-03-15 02:00:00,1.8,66.0,7.0,108.0,88.0,1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9
2004-03-15 03:00:00,1.1,44.0,4.4,87.0,79.5,1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.9
2004-03-15 04:00:00,1.0,44.0,4.0,66.0,71.0,1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9
2004-03-15 05:00:00,1.0,39.0,3.9,88.0,74.0,1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9
2004-03-15 06:00:00,1.4,51.0,6.4,138.0,80.0,1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9
2004-03-15 07:00:00,2.2,107.0,9.7,228.0,89.0,1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9
2004-03-15 08:00:00,5.5,336.0,25.9,360.0,114.0,1672.0,1451.0,652.0,2323.0,1680.0,12.4,63.9,0.9
2004-03-15 09:00:00,5.6,618.0,28.4,478.0,149.0,1672.0,1688.2,537.0,2344.5,2086.5,14.8,54.3,0.9
2004-03-15 10:00:00,5.6,438.0,26.6,394.0,157.0,1672.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.9
2004-03-15 11:00:00,4.2,334.0,20.1,319.0,155.0,1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.9
2004-03-15 12:00:00,3.1,221.0,14.1,201.0,134.0,1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.9
2004-03-15 13:00:00,2.9,207.0,14.9,171.0,119.0,1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9
2004-03-15 14:00:00,2.9,191.0,15.4,159.0,111.0,1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.9
2004-03-15 15:00:00,2.5,185.0,12.1,153.0,104.0,1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.9
2004-03-15 16:00:00,2.3,141.0,11.5,143.0,99.0,1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.9
2004-03-15 17:00:00,2.8,214.0,14.8,156.0,110.0,1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9
2004-03-15 18:00:00,5.6,471.0,28.4,314.0,162.0,1672.0,1601.0,631.0,2344.5,1843.0,22.5,35.4,1.0
2004-03-15 19:00:00,5.6,642.0,28.4,404.0,187.0,1672.0,1688.2,542.0,2344.5,2086.5,20.4,42.5,1.0
2004-03-15 20:00:00,5.6,538.0,28.4,320.0,165.0,1672.0,1573.0,565.0,2344.5,1992.0,18.3,52.6,1.1
2004-03-15 21:00:00,4.2,319.0,19.9,256.0,145.0,1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.1
2004-03-15 22:00:00,3.2,224.0,15.3,193.0,125.0,1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.1
2004-03-15 23:00:00,1.4,67.0,6.9,89.0,101.0,1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.1
2004-03-16 00:00:00,2.1,155.0,11.1,127.0,103.0,1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0
2004-03-16 01:00:00,1.2,49.0,5.4,79.0,88.0,1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0
2004-03-16 02:00:00,0.8,29.0,2.8,43.0,61.0,968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,1.0
2004-03-16 03:00:00,0.7,25.0,2.3,51.0,60.0,929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,1.0
2004-03-16 04:00:00,0.6,25.0,2.6,59.0,59.0,941.0,626.0,1316.0,1373.0,840.0,12.3,66.2,0.9
2004-03-16 05:00:00,0.6,17.0,2.0,38.0,52.0,937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9
2004-03-16 06:00:00,0.9,27.0,3.5,82.0,64.0,1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9
2004-03-16 07:00:00,1.3,50.0,5.1,99.0,70.0,1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.9
2004-03-16 08:00:00,3.4,218.0,16.2,263.0,97.0,1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.9
2004-03-16 09:00:00,3.7,285.0,19.7,229.0,95.0,1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.9
2004-03-16 10:00:00,5.3,437.0,25.1,396.0,150.0,1672.0,1431.0,628.0,2211.0,1843.0,17.8,42.9,0.9
2004-03-16 11:00:00,4.1,327.0,20.0,314.0,162.0,1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8
2004-03-16 12:00:00,3.3,283.0,18.3,217.0,154.0,1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8
2004-03-16 13:00:00,4.0,366.0,22.3,252.0,161.0,1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8
2004-03-16 14:00:00,3.8,318.0,20.4,263.0,161.0,1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.8
2004-03-16 15:00:00,2.8,228.0,14.6,180.0,128.0,1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7
2004-03-16 16:00:00,2.9,201.0,16.6,184.0,129.0,1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7
2004-03-16 17:00:00,2.9,199.0,15.8,190.0,133.0,1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7
2004-03-16 18:00:00,3.4,237.0,17.8,184.0,139.0,1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.8
2004-03-16 19:00:00,3.9,261.0,19.1,181.0,137.0,1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.9
2004-03-16 20:00:00,3.2,230.0,15.8,166.0,143.0,1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.9
2004-03-16 21:00:00,5.1,349.0,24.9,317.0,177.0,1672.0,1426.0,700.0,2106.0,2034.0,19.0,41.3,0.9
2004-03-16 22:00:00,2.6,183.0,13.5,184.0,138.0,1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9
2004-03-16 23:00:00,1.7,88.0,9.1,130.0,117.0,1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9
2004-03-17 00:00:00,1.7,85.0,8.6,132.0,107.0,1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9
2004-03-17 01:00:00,1.2,47.0,5.4,95.0,90.0,1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9
2004-03-17 02:00:00,0.9,34.0,4.1,70.0,79.0,998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.9
2004-03-17 03:00:00,0.7,26.0,2.6,62.0,69.5,933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.9
2004-03-17 04:00:00,0.6,17.0,1.9,54.0,60.0,883.0,577.0,1396.0,1303.0,808.0,12.7,57.9,0.8
2004-03-17 05:00:00,0.5,11.0,1.6,28.0,40.0,869.0,554.0,1436.8,1268.0,667.0,11.8,58.0,0.8
2004-03-17 06:00:00,0.5,18.0,1.9,46.0,53.0,891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.8
2004-03-17 07:00:00,1.6,84.0,7.5,160.0,84.0,1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.8
2004-03-17 08:00:00,4.1,260.0,21.4,320.0,108.0,1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.8
2004-03-17 09:00:00,5.6,534.0,28.4,377.0,127.0,1672.0,1688.2,553.0,2344.5,1931.0,14.1,50.0,0.8
2004-03-17 10:00:00,4.3,368.0,21.3,280.0,134.0,1522.0,1331.0,703.0,2026.0,1734.0,17.7,40.1,0.8
2004-03-17 11:00:00,2.9,200.0,15.4,221.0,135.0,1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8
2004-03-17 12:00:00,2.5,145.0,12.5,210.0,142.0,1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8
2004-03-17 13:00:00,2.8,188.0,15.1,204.0,153.0,1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8
2004-03-17 14:00:00,2.6,152.0,13.7,161.0,123.0,1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.9
2004-03-17 15:00:00,2.0,103.0,10.4,135.0,104.0,1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.6
2004-03-17 16:00:00,2.9,193.0,15.2,186.0,129.0,1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6
2004-03-17 17:00:00,2.5,134.0,12.3,147.0,114.0,1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.6
2004-03-17 18:00:00,5.0,386.0,27.0,299.0,158.0,1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5
2004-03-17 19:00:00,5.6,577.0,28.4,411.0,194.0,1672.0,1688.2,617.0,2344.5,2086.5,23.1,26.5,0.7
2004-03-17 20:00:00,5.6,523.0,28.4,347.0,182.0,1672.0,1667.0,597.0,2344.5,2086.5,20.5,38.2,0.9
2004-03-17 21:00:00,5.6,472.0,27.2,336.0,180.0,1672.0,1485.0,653.0,2174.0,2050.0,19.1,42.6,0.9
2004-03-17 22:00:00,2.8,206.0,15.0,202.0,136.0,1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.9
2004-03-17 23:00:00,2.6,216.0,15.7,178.0,127.0,1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9
2004-03-18 00:00:00,2.3,159.0,13.0,154.0,116.0,1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9
2004-03-18 01:00:00,1.4,70.0,8.1,92.0,107.0,1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.9
2004-03-18 02:00:00,1.0,44.0,5.5,61.0,88.0,1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.9
2004-03-18 03:00:00,0.7,42.0,3.6,60.5,83.0,970.0,687.0,1196.0,1351.0,969.0,13.9,53.9,0.9
2004-03-18 04:00:00,0.6,28.0,2.9,60.0,78.0,954.0,645.0,1260.0,1334.0,925.0,11.6,61.9,0.8
2004-03-18 05:00:00,0.6,20.0,2.5,37.0,57.0,931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8
2004-03-18 06:00:00,0.7,26.0,3.0,68.0,71.0,938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8
2004-03-18 07:00:00,1.5,78.0,7.7,139.0,85.0,1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8
2004-03-18 08:00:00,4.7,319.0,23.3,339.0,124.0,1643.0,1384.0,667.0,2094.0,1610.0,11.5,60.0,0.8
2004-03-18 09:00:00,5.6,506.0,28.4,421.0,151.0,1672.0,1682.0,541.0,2344.5,2051.0,14.3,50.6,0.8
2004-03-18 10:00:00,4.5,505.5,21.3,349.0,150.0,1617.0,1333.0,686.0,2010.0,1819.0,17.8,40.5,0.8
2004-03-18 11:00:00,2.8,504.9,14.3,224.0,152.0,1473.0,1127.0,831.0,1752.0,1568.0,20.8,34.4,0.8
2004-03-18 12:00:00,2.2,504.4,12.5,171.0,139.0,1379.0,1068.0,899.0,1663.0,1374.0,23.8,28.2,0.8
2004-03-18 13:00:00,2.2,503.9,12.2,149.0,133.0,1385.0,1056.0,891.0,1648.0,1268.0,24.2,28.7,0.9
2004-03-18 14:00:00,2.3,503.3,13.1,137.0,126.0,1379.0,1087.0,901.0,1660.0,1144.0,25.2,24.9,0.8
2004-03-18 15:00:00,2.2,502.8,14.4,149.0,128.0,1322.0,1129.0,934.0,1639.0,1109.0,27.0,17.8,0.6
2004-03-18 16:00:00,2.8,502.3,16.8,172.0,169.0,1496.0,1205.0,822.0,1767.0,1347.0,27.1,23.1,0.8
2004-03-18 17:00:00,2.7,501.7,14.5,166.0,149.0,1409.0,1131.0,873.0,1689.0,1206.0,25.8,23.9,0.8
2004-03-18 18:00:00,3.7,501.2,21.5,214.0,156.0,1513.0,1338.0,764.0,1957.0,1397.0,23.0,26.8,0.7
2004-03-18 19:00:00,5.1,500.7,26.4,280.0,168.0,1667.0,1464.0,683.0,2118.0,1588.0,20.7,31.1,0.8
2004-03-18 20:00:00,5.1,500.1,26.0,276.0,176.0,1667.0,1453.0,684.0,2051.0,1569.0,18.6,36.2,0.8
2004-03-18 21:00:00,3.2,499.6,14.1,178.0,135.0,1430.0,1121.0,814.0,1732.0,1322.0,16.0,48.4,0.9
2004-03-18 22:00:00,2.1,499.1,10.3,129.0,121.0,1333.0,989.0,885.0,1621.0,1194.0,14.5,57.8,0.9
2004-03-18 23:00:00,1.7,498.5,8.3,95.0,99.0,1262.0,911.0,948.0,1545.0,1062.0,13.1,64.2,1.0
2004-03-19 00:00:00,2.0,498.0,8.9,126.0,106.0,1287.0,936.0,918.0,1606.0,1040.0,12.0,69.7,1.0
2004-03-19 01:00:00,1.6,497.5,6.6,103.0,96.0,1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,1.0
2004-03-19 02:00:00,0.9,496.9,3.6,48.0,63.0,999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0
